PanoID,turbidity,exposure,theta,phi
2qgTnlk0ash96PSG7gdgZQ,3.500000,0.042352,3.452260584518956,54.01776924561109
2QS7rfv0wHXsRA9sVT1paQ,4.500000,0.027634,20.742976640141073,82.15920815297976
2rYXHV7UlFOk_PDArAGbuA,3.500000,0.035524,-107.29627895757717,83.97536714970923
2RZ6j6X71jNWct9qjq7GUw,2.500000,0.048620,166.64467075090212,41.625901926244524
2s-YAtS_PKZLJJTQZZ5M_A,4.000000,0.037420,-4.138356999806547,54.723312946092406
2s1RGKVIhX19_nOGqEIOqw,3.500000,0.047776,-44.531638850159275,56.24804973797369
2SbA2wcIcmXn3l23DcZYwA,4.500000,0.033760,-66.12042143219817,55.1979302557646
2sls6AhatCYOSXnVLOBRsA,4.000000,0.034951,-141.84382596385404,49.50809019692872
2STI9SGJTpV8N4PsgwQHNg,4.500000,0.050203,174.60507599958262,68.78547035797999
2T4YuvNvk_BwkzM18YMEvw,3.500000,0.038820,-127.82315415381724,48.2141312608738
2TH0OApGrz-1am9TR4I75Q,4.000000,0.032988,-105.4174258897402,58.78149879122524
2uTQX8GZ14_it50y4azliw,3.500000,0.047352,-30.854946350660327,53.0524969434804
2Uw2lfvL7emroJcEEB-w6g,4.000000,0.028811,28.7369942182913,47.62411742530852
2UWb8R_5kHXRS0OL7OQVVw,4.000000,0.026788,8.665509044751003,45.31698138397768
2uxOFI0Q_mvuLaVzh2cMFg,3.500000,0.048057,-54.67042535461253,57.1010405022449
2UzreVqHc6ofkpu2uotVnA,3.500000,0.055295,161.9049692239044,57.94346313309138
2VhU4Oq3Jlp4B7GcPxhv8Q,3.000000,0.057312,21.468940535526777,53.046520406989856
2vNHblAKa66qgv_AfJM3dg,4.000000,0.046816,-50.92792382355705,63.5408959668581
2vOwtbwW5XHNa6U_i8hQcg,4.000000,0.032948,-100.26144341154279,51.84897609817369
2vxXILglc0RR6e4ScDt2iw,4.000000,0.032959,-106.9434081414932,83.74567123814258
2w9Hp9RD6mYDm_ADGfmIuA,3.500000,0.054871,-110.43504223990624,46.14034095103572
2Wfrzcknzw6dr72PWm7fHw,3.500000,0.048006,159.09235592365243,59.03532692075083
2WI9HxPHeki5HPzAVW7QmA,4.500000,0.033855,179.26399277066264,65.57249852166838
2xdJzSNGEkf-uSzGgZ8_Qw,3.500000,0.043029,6.545511243867392,52.51714093289098
2Xnu5DNaQgkBLGfL-QPRSw,3.500000,0.049090,-33.26726806407613,59.03734884754408
2y8zViL15qEid3bh7JgGPQ,4.000000,0.033894,-156.0935633985672,76.41203168251188
2yb24bJH4_rvrTRixIZvZQ,4.500000,0.033787,-58.32355921949758,72.18878749233212
2yCT4SOokXE68SbnhHnpEQ,4.500000,0.027413,48.36179717678742,69.70761337810266
2YiPmDbwVOfWpIOzIb6q7w,4.000000,0.036182,-127.58481364455761,77.40816623630774
2YLHXmR0LY9jJAL3R1WwEw,3.500000,0.042430,-8.942799662129822,62.366482279394916
2z6_5RzlyiZqVb4ozBoIWw,4.500000,0.031798,-161.1334215490617,75.87846239874186
2ZdG3Eo6lf-RAcuRaR0KgQ,3.500000,0.049914,-10.263639844392518,64.07320452407077
2ZQVzd-NJobSKMOZHkr39g,4.500000,0.028402,171.40649833312025,67.725868583464
2ZSrFMuEK0lYuTtSqauI7A,4.500000,0.030253,72.25308820886077,62.862698536027814
