filepath,theta,phi,turbidity,exposure,elevation,fov
D://360 google/dashcam_illumination/train/2qgTnlk0ash96PSG7gdgZQ_F.png,3.4522605845189562,47.69776924561109,3.500000,0.042352,-6.32,61.32
D://360 google/dashcam_illumination/train/2qgTnlk0ash96PSG7gdgZQ_B.png,-176.54773941548106,45.91776924561108,3.500000,0.042352,-8.1,98.62
D://360 google/dashcam_illumination/train/2QS7rfv0wHXsRA9sVT1paQ_F.png,20.742976640141073,77.57920815297977,4.500000,0.027634,-4.58,94.11
D://360 google/dashcam_illumination/train/2QS7rfv0wHXsRA9sVT1paQ_B.png,-159.25702335985895,81.28920815297978,4.500000,0.027634,-0.87,67.37
D://360 google/dashcam_illumination/train/2rYXHV7UlFOk_PDArAGbuA_F.png,-107.29627895757717,86.08536714970937,3.500000,0.035524,2.11,60.27
D://360 google/dashcam_illumination/train/2rYXHV7UlFOk_PDArAGbuA_B.png,72.70372104242283,87.53536714970902,3.500000,0.035524,3.56,97.93
D://360 google/dashcam_illumination/train/2RZ6j6X71jNWct9qjq7GUw_F.png,166.64467075090212,32.93590192624453,2.500000,0.048620,-8.69,94.5
D://360 google/dashcam_illumination/train/2RZ6j6X71jNWct9qjq7GUw_B.png,-13.355329249097892,44.06590192624453,2.500000,0.048620,2.44,89.58
D://360 google/dashcam_illumination/train/2s-YAtS_PKZLJJTQZZ5M_A_F.png,-4.138356999806546,61.98331294609242,4.000000,0.037420,7.26,63.36
D://360 google/dashcam_illumination/train/2s-YAtS_PKZLJJTQZZ5M_A_B.png,175.86164300019345,62.2233129460924,4.000000,0.037420,7.5,99.45
D://360 google/dashcam_illumination/train/2s1RGKVIhX19_nOGqEIOqw_F.png,-44.53163885015928,63.088049737973705,3.500000,0.047776,6.84,97.88
D://360 google/dashcam_illumination/train/2s1RGKVIhX19_nOGqEIOqw_B.png,135.46836114984075,59.828049737973686,3.500000,0.047776,3.58,95.0
D://360 google/dashcam_illumination/train/2SbA2wcIcmXn3l23DcZYwA_F.png,-66.12042143219817,61.28793025576459,4.500000,0.033760,6.09,88.9
D://360 google/dashcam_illumination/train/2SbA2wcIcmXn3l23DcZYwA_B.png,113.87957856780183,52.0979302557646,4.500000,0.033760,-3.1,79.98
D://360 google/dashcam_illumination/train/2sls6AhatCYOSXnVLOBRsA_F.png,-141.84382596385404,49.63809019692874,4.000000,0.034951,0.13,97.79
D://360 google/dashcam_illumination/train/2sls6AhatCYOSXnVLOBRsA_B.png,38.15617403614598,56.158090196928704,4.000000,0.034951,6.65,94.59
D://360 google/dashcam_illumination/train/2STI9SGJTpV8N4PsgwQHNg_F.png,174.60507599958262,67.44547035798003,4.500000,0.050203,-1.34,65.03
D://360 google/dashcam_illumination/train/2STI9SGJTpV8N4PsgwQHNg_B.png,-5.394924000417378,72.54547035798001,4.500000,0.050203,3.76,76.9
D://360 google/dashcam_illumination/train/2T4YuvNvk_BwkzM18YMEvw_F.png,-127.82315415381724,55.0941312608738,3.500000,0.038820,6.88,67.56
D://360 google/dashcam_illumination/train/2T4YuvNvk_BwkzM18YMEvw_B.png,52.176845846182765,51.3741312608738,3.500000,0.038820,3.16,95.15
D://360 google/dashcam_illumination/train/2TH0OApGrz-1am9TR4I75Q_F.png,-105.4174258897402,50.201498791225255,4.000000,0.032988,-8.58,62.08
D://360 google/dashcam_illumination/train/2TH0OApGrz-1am9TR4I75Q_B.png,74.5825741102598,52.46149879122524,4.000000,0.032988,-6.32,64.43
D://360 google/dashcam_illumination/train/2uTQX8GZ14_it50y4azliw_F.png,-30.854946350660335,49.2724969434804,3.500000,0.047352,-3.78,61.14
D://360 google/dashcam_illumination/train/2uTQX8GZ14_it50y4azliw_B.png,149.14505364933967,54.7524969434804,3.500000,0.047352,1.7,98.33
D://360 google/dashcam_illumination/train/2Uw2lfvL7emroJcEEB-w6g_F.png,28.73699421829129,49.62411742530851,4.000000,0.028811,2.0,80.97
D://360 google/dashcam_illumination/train/2Uw2lfvL7emroJcEEB-w6g_B.png,-151.26300578170873,49.01411742530851,4.000000,0.028811,1.39,77.21
D://360 google/dashcam_illumination/train/2UWb8R_5kHXRS0OL7OQVVw_F.png,8.665509044751003,43.53698138397768,4.000000,0.026788,-1.78,99.53
D://360 google/dashcam_illumination/train/2UWb8R_5kHXRS0OL7OQVVw_B.png,-171.334490955249,50.186981383977674,4.000000,0.026788,4.87,93.36
D://360 google/dashcam_illumination/train/2uxOFI0Q_mvuLaVzh2cMFg_F.png,-54.670425354612526,62.401040502244875,3.500000,0.048057,5.3,82.37
D://360 google/dashcam_illumination/train/2uxOFI0Q_mvuLaVzh2cMFg_B.png,125.32957464538747,47.661040502244894,3.500000,0.048057,-9.44,76.7
D://360 google/dashcam_illumination/train/2UzreVqHc6ofkpu2uotVnA_F.png,161.9049692239044,59.5734631330914,3.500000,0.055295,1.63,65.38
D://360 google/dashcam_illumination/train/2UzreVqHc6ofkpu2uotVnA_B.png,-18.095030776095623,48.30346313309136,3.500000,0.055295,-9.64,74.73
D://360 google/dashcam_illumination/train/2VhU4Oq3Jlp4B7GcPxhv8Q_F.png,21.468940535526777,47.33652040698987,3.000000,0.057312,-5.71,81.5
D://360 google/dashcam_illumination/train/2VhU4Oq3Jlp4B7GcPxhv8Q_B.png,-158.53105946447326,46.99652040698986,3.000000,0.057312,-6.05,77.19
D://360 google/dashcam_illumination/train/2vNHblAKa66qgv_AfJM3dg_F.png,-50.92792382355705,62.94089596685811,4.000000,0.046816,-0.6,62.88
D://360 google/dashcam_illumination/train/2vNHblAKa66qgv_AfJM3dg_B.png,129.07207617644295,67.83089596685812,4.000000,0.046816,4.29,63.25
D://360 google/dashcam_illumination/train/2vOwtbwW5XHNa6U_i8hQcg_F.png,-100.2614434115428,61.728976098173675,4.000000,0.032948,9.88,69.71
D://360 google/dashcam_illumination/train/2vOwtbwW5XHNa6U_i8hQcg_B.png,79.73855658845721,57.71897609817369,4.000000,0.032948,5.87,75.21
